Feature,Importance
checking_account,0.18076190476190473
duration_months,0.03042857142857138
credit_amount,0.023404761904761862
credit_history,0.02199999999999991
savings_account,0.02028571428571426
job,0.008499999999999997
employment_since,0.006976190476190381
age,0.005928571428571327
property,0.0018571428571428016
foreign_worker,0.0016904761904761533
other_installment_plans,0.001690476190476109
residence_since,0.0014285714285713791
dependents,0.00114285714285709
existing_credits,0.0008333333333332193
other_debtors,-0.00023809523809530385
installment_rate,-0.00033333333333340764
housing,-0.0005952380952381376
telephone,-0.0009047619047620082
personal_status_sex,-0.0009523809523810156
purpose,-0.00661904761904768
